Rank,Company,Sells_2017,Sells_2016,Revenue_2017,EBITDA_2017,Employees,IndustrialActivity,Location
1,MERCADONASA,21.072.429.00,19.823.515.00,322.225.00,753.824.00,84.485,Minoristasdealimentos/medicamentos,TAVERNESBLANQU(VALENCIA)
2,REPSOLPETROLEOSA,19.651.680.00,16.161.180.00,856.910.00,1.171.631.00,3.879,Petr�leoygas,Madrid(MADRID)
3,COMPA�IAESPA�OLADEPETROLEOSSA,16.159.083.00,13.477.469.00,408.276.00,989.504.00,2.597,Petr�leoygas,MADRID(MADRID)
4,REPSOLCOMERCIALDEPRODUCTOSPETROLIFEROSSA,14.149.175.00,12.357.809.00,205.557.00,369.194.00,662,Petr�leoygas,MADRID(MADRID)
5,CEPSATRADINGSA,13.517.132.00,10.959.335.00,41.22.00,53.376.00,88,Petr�leoygas,MADRID(MADRID)
6,ENDESAENERGIASA,12.622.285.00,11.767.670.00,-176.591.00,-94.353.00,1.024,Utilities/Serviciosdeutilidadp�blica,Madrid(MADRID)
7,ELCORTEINGLESSA,11.732.409.00,11.001.619.00,245.235.00,710.155.00,69.145,Minoristas(exceptoalimentosymedicamentos),MADRID(MADRID)
8,INDUSTRIADEDISE�OTEXTILSA,10.481.00.00,9.494.686.00,2.375.00.00,2.573.00.00,1.933,Ropa/textiles,ARTEIXO(LACORU�A)
9,SEATSA,10.013.400.00,9.023.100.00,281.200.00,459.600.00,14.106,Automotor,MARTORELL(BARCELONA)
10,FORDESPA�ASL,9.209.636.00,8.992.948.00,46.019.00,433.729.00,7.791,Automotor,ALCOBENDAS(MADRID)
11,SOCIEDADESTATALLOTERIASYAPUESTASDELESTADOSMESA,8.971.780.00,8.860.263.00,1.792.782.00,2.392.149.00,583,Productos/actividadesdeocio/Pel�culas,Madrid(MADRID)
12,TELEFONICADEESPA�ASA,8.624.985.00,8.406.973.00,1.574.438.00,3.229.770.00,17.243,Telecomunicaciones,Madrid(MADRID)
13,RENAULTESPA�ASA,8.338.006.00,8.591.648.00,113.648.00,362.192.00,13.572,Automotor,VALLADOLID(MADRID)
14,CENTROSCOMERCIALESCARREFOURSA,8.120.635.00,7.55.509.00,104.139.00,175.085.00,37.513,Minoristas(exceptoalimentosymedicamentos),MADRID(MADRID)
15,IBERDROLACLIENTESSA,7.564.431.00,7.438.203.00,424.119.00,575.519.00,503,Utilities/Serviciosdeutilidadp�blica,BILBAO(VIZCAYA)
16,REPSOLTRADINGSA,7.455.809.00,5.99.005.00,158.313.00,196.030.00,152,Petr�leoygas,MADRID(MADRID)
17,IBERDROLAGENERACIONESPA�ASA,6.755.841.00,6.711.572.00,446.345.00,418.549.00,258,Utilities/Serviciosdeutilidadp�blica,BILBAO(VIZCAYA)
18,CAIXABANKSA,6.287.389.00,6.647.635.00,1.428.131.00,1.212.008.00,-,Intermediariosfinancieros,BARCELONA(BARCELONA)
19,GASNATURALCOMERCIALIZADORASA,5.792.547.00,5.744.736.00,-17.181.00,-10.500.00,277,Petr�leoygas,MADRID(MADRID)
20,MERCEDES-BENZESPA�ASA,5.465.688.00,4.918.742.00,70.408.00,188.114.00,5.507,Automotor,ALCOBENDAS(MADRID)
21,BANCOSANTANDERSA,5.460.00.00,5.763.00.00,3.006.00.00,2.773.00.00,-,Intermediariosfinancieros,SANTANDER(CANTABRIA)
22,PETROLEOSDELNORTESA,5.446.768.00,4.619.628.00,178.224.00,255.933.00,1.035,Petr�leoygas,muskiz(VIZCAYA)
23,NATURGYENERGYGROUPSA,5.436.00.00,5.506.00.00,1.023.00.00,1.587.00.00,1.819,Petr�leoygas,MADRID(MADRID)
24,ORANGEESPAGNESA,5.217.869.00,4.824.750.00,338.576.00,1.280.132.00,2.807,Telecomunicaciones,POZUELODEALAR(MADRID)
25,PEUGEOTCITROENAUTOMOVILESESPA�ASA,5.121.843.557,5.223.843.227,48.506.876,183.569.509,7.006,Automotor,VIGO(PONTEVEDRA)
26,BANCOBILBAOVIZCAYAARGENTARIASA,5.019.00.00,6.376.00.00,2.083.00.00,2.256.00.00,-,Intermediariosfinancieros,BILBAO(VIZCAYA)
27,NATURGYAPROVISIONAMIENTOSSA,4.700.100.00,4.322.740.00,144.213.00,201.969.00,-,Petr�leoygas,MADRID(MADRID)
28,OPELESPA�ASL,4.677.578.00,4.357.254.00,33.557.00,155.490.00,5.450,Automotor,FIGUERUELAS(ZARAGOZA)
29,DISTRIBUIDORAINTERNACIONALDEALIMENTACIONSA,4.674.500.00,4.816.288.00,88.898.00,274.095.00,15.644,Minoristasdealimentos/medicamentos,LASROZASDEMA(MADRID)
30,BPOILESPA�ASA,4.590.711.512,4.055.247.775,73.338.44,183.354.801,849,Petr�leoygas,Castellon(CASTELL�N)
31,ENDESAGENERACIONSA,4.563.964.00,3.633.898.00,987.099.00,718.208.00,12.492,Utilities/Serviciosdeutilidadp�blica,Sevilla(SEVILLA)
32,GALPENERGIAESPA�ASA,4.539.933.00,2.723.156.00,-,49.692.00,318,Petr�leoygas,ALCOBENDAS(MADRID)
33,IBERIALINEASAEREASDEESPA�ASAOPERADORA,4.530.00.00,4.238.00.00,206.00.00,270.00.00,16.393,Transportea�reo,MADRID(MADRID)
34,CEPSACOMERCIALPETROLEOSA,4.455.636.00,3.778.304.00,149.148.00,261.917.00,1.048,Petr�leoygas,MADRID(MADRID)
35,MAPFREESPA�ACOMPA�IADESEGUROSYREASEGUROSSA,4.406.190.00,4.417.637.00,307.748.00,404.431.00,-,Seguro,MAJADAHONDA(MADRID)
36,AMADEUSITGROUPSA,4.308.800.00,3.973.100.00,596.100.00,689.700.00,1.028,Telecomunicaciones,MADRID(MADRID)
37,VODAFONEESPA�ASA,4.173.455.00,4.220.149.00,-180.277.00,507.385.00,3.339,Telecomunicaciones,MADRID(MADRID)
38,TELEFONICAMOVILESESPA�ASA,4.046.046.00,4.11.398.00,552.099.00,1.190.097.00,3.984,Telecomunicaciones,madrid(MADRID)
39,ALVEANSUGARSL,3.831.215.00,4.343.363.00,2.667.00,12.845.00,3,Productosalimenticios,BILBAO(VIZCAYA)
40,AENASMESA,3.765.593.00,3.516.303.00,1.219.751.00,2.451.454.00,7.44,Transportea�reo,MADRID(MADRID)
41,VOLKSWAGENGROUPESPA�ADISTRIBUCIONSA,3.764.154.00,3.547.720.00,23.504.00,38.940.00,355,Automotor,PratDeLlobreg(BARCELONA)
42,TELEFONICASA,3.757.00.00,2.756.00.00,554.00.00,2.043.00.00,1.091,Telecomunicaciones,MADRID(MADRID)
43,NATURGYIBERIASA,3.698.600.00,3.718.672.00,9.830.00,48.830.00,561,Petr�leoygas,MADRID(BARCELONA)
44,LIDLSUPERMERCADOSSA,3.630.052.00,3.370.940.00,150.403.00,309.986.00,-,Minoristasdealimentos/medicamentos,MONTCADAIREIX(BARCELONA)
45,ARCELORMITTALESPA�ASA,3.509.817.00,2.823.397.00,67.534.00,130.924.00,6.795,Acero,Goz�n(ASTURIAS)
46,REPSOLQUIMICASA,3.468.394.00,3.099.068.00,550.040.00,561.644.00,1.304,Petr�leoygas,Madrid(MADRID)
47,BANCODESABADELLSA,3.454.924.00,3.606.114.00,519.170.00,422.322.00,15.302,Intermediariosfinancieros,ALICANTE(ALICANTE)
48,ALCAMPOSA,3.310.655.00,3.242.761.00,100.830.00,178.649.00,14.034,Minoristasdealimentos/medicamentos,MADRID(MADRID)
49,PSAGAUTOMOVILESCOMERCIALESPA�ASA,3.182.354.446,1.316.845.805,16.601.162,160.805.687,340,Automotor,MADRID(MADRID)
50,RENFEVIAJEROSSA,3.116.128.00,2.738.303.00,74.942.00,424.809.00,9.545,Ferrocarrilyindustriascorrespondientes,MADRID(MADRID)
51,AIRBUSDEFENCEANDSPACESA,3.098.857.00,2.780.663.00,134.806.00,38.671.00,7.838,Aeroespacialydefensa,MADRID(MADRID)
52,COFARESSOCIEDADCOOPERATIVAFARMAC�UTICAESPA�OLA,3.095.854.787,2.909.703.889,3.825.793,15.737.907,-,Productosf�rmacos/Medicamentos,Madrid(MADRID)
53,MEXGASSUPPLYSL,3.042.417.00,2.231.979.00,29.957.00,45.970.00,-,Petr�leoygas,MADRID(MADRID)
54,CEPSAQUIMICASA,2.931.332.00,2.337.706.00,139.659.00,217.558.00,417,Petr�leoygas,MADRID(MADRID)
55,ALUMINIOESPA�OLSL,2.765.737.00,1.902.135.00,58.974.00,106.104.00,677,Metalesnoferrosos/minerales,MADRID(MADRID)
56,ENDESAENERGIAXXISL,2.762.876.00,2.733.77.00,-40.373.00,-36.210.00,-,Utilities/Serviciosdeutilidadp�blica,MADRID(MADRID)
57,TECNICASREUNIDASSA,2.743.341.00,2.978.816.00,187.33.00,199.650.00,3.421,Construcci�nyDesarrollo,MADRID(MADRID)
58,IBERDROLASA,2.731.189.00,2.639.838.00,1.598.871.00,1.869.871.00,719,Utilities/Serviciosdeutilidadp�blica,BILBAO(VIZCAYA)
59,BUNGEIBERICASA,2.724.950.00,2.256.247.00,31.504.00,24.340.00,326,Agricultura,MADRID(MADRID)
60,NISSANMOTORIBERICASA,2.689.821.00,2.802.151.00,25.806.00,177.630.00,5.025,Automotor,BARCELONA(BARCELONA)
